cluster,x,y,embedding_method
528,4.8637757,7.529814,UMAP
529,2.7832313,7.0864015,UMAP
530,-0.023119748,5.322669,UMAP
531,4.27126,3.0999618,UMAP
532,2.6470957,2.490748,UMAP
533,5.5757017,5.064814,UMAP
534,4.51436,6.5242624,UMAP
535,4.3263645,3.1292617,UMAP
536,6.0712724,6.8606644,UMAP
537,1.6781068,6.9768515,UMAP
538,4.240597,7.4393044,UMAP
539,0.094797686,5.516996,UMAP
540,1.277022,5.147966,UMAP
541,5.9632955,8.163825,UMAP
542,-0.88626605,6.1026235,UMAP
543,3.6874433,2.2651343,UMAP
544,4.467639,2.592652,UMAP
545,2.4582593,5.119859,UMAP
546,4.6857533,3.3991542,UMAP
547,2.729439,7.9096947,UMAP
548,3.6232173,5.030081,UMAP
549,1.2311925,5.73562,UMAP
550,4.5415215,2.2071004,UMAP
551,4.032308,8.26523,UMAP
552,1.4215124,4.5894136,UMAP
553,2.9885502,7.4605336,UMAP
554,4.2931843,3.5180805,UMAP
555,4.001348,1.8931273,UMAP
556,2.514851,4.8153534,UMAP
557,3.6233397,3.847776,UMAP
558,3.4284,4.1314497,UMAP
559,2.1835155,3.2481961,UMAP
560,-0.25829408,6.3101845,UMAP
561,0.05655505,6.2576056,UMAP
562,2.625906,7.3955364,UMAP
563,4.286438,3.940735,UMAP
564,5.4057736,3.0169458,UMAP
565,5.904463,4.401173,UMAP
566,0.092641294,5.3351407,UMAP
567,5.8658795,5.637848,UMAP
568,4.795098,3.9579692,UMAP
569,4.198682,7.5994334,UMAP
570,4.5479946,8.626081,UMAP
571,3.1821637,2.6760972,UMAP
572,2.6168957,6.274854,UMAP
573,3.4337327,4.1612945,UMAP
574,5.503599,3.5580196,UMAP
575,4.7681637,5.9911776,UMAP
576,2.884747,8.478818,UMAP
577,3.158314,8.014801,UMAP
578,4.079409,7.0932784,UMAP
579,1.6431437,5.1979737,UMAP
580,2.534883,7.31664,UMAP
581,5.1327057,3.2490742,UMAP
582,0.6520953,5.233016,UMAP
583,3.13816,3.5124283,UMAP
584,3.6313324,1.8059968,UMAP
585,4.900481,9.093775,UMAP
586,3.6505945,2.6996462,UMAP
587,-0.62837803,5.660484,UMAP
588,3.5298693,2.2971635,UMAP
589,0.8238769,6.0109,UMAP
590,4.2992415,3.5895898,UMAP
591,-0.40022203,5.9840856,UMAP
592,2.301347,7.6233025,UMAP
593,5.658036,4.35599,UMAP
594,3.525365,1.9436536,UMAP
595,4.7365527,8.595416,UMAP
596,3.9905944,3.7209415,UMAP
597,5.569311,7.56905,UMAP
598,3.5660152,8.217309,UMAP
599,-0.8869961,6.001782,UMAP
600,2.9336345,7.236324,UMAP
601,2.7187548,8.151168,UMAP
602,0.5187449,6.29123,UMAP
603,3.509655,1.7946432,UMAP
604,3.1818144,4.846717,UMAP
605,-0.26472685,6.313359,UMAP
606,3.3184805,3.0147133,UMAP
607,3.0414329,3.3766065,UMAP
608,2.4076965,4.347019,UMAP
609,-0.924993,6.2044363,UMAP
610,4.783057,7.956052,UMAP
611,2.0851169,6.465854,UMAP
612,3.0915842,2.5496647,UMAP
613,5.2257304,6.6120358,UMAP
614,3.89845,5.853449,UMAP
615,6.2736335,8.26453,UMAP
616,5.9502664,6.052038,UMAP
617,3.3163533,5.050398,UMAP
618,3.5568008,4.2241516,UMAP
619,4.9284387,2.6220453,UMAP
620,4.9846115,3.5367978,UMAP
621,2.1828825,4.135953,UMAP
622,-0.48595986,5.6225576,UMAP
623,0.19568671,6.257482,UMAP
624,3.7405002,6.003658,UMAP
625,-0.1073178,5.697257,UMAP
626,5.093893,7.4104414,UMAP
627,3.900294,8.03078,UMAP
628,3.8271234,4.3188887,UMAP
629,4.2436147,2.7340336,UMAP
630,3.0861473,3.282467,UMAP
631,4.151645,8.504219,UMAP
632,4.2321267,2.1754382,UMAP
633,4.4608583,2.8941028,UMAP
634,3.7582912,4.3923016,UMAP
635,4.7647157,5.8409863,UMAP
636,3.6263385,8.27066,UMAP
637,5.620349,6.414438,UMAP
638,5.002338,8.383645,UMAP
639,5.25554,8.449843,UMAP
640,4.412613,8.239483,UMAP
641,2.2583632,4.7784405,UMAP
642,6.5164347,7.2992115,UMAP
643,4.228684,2.6940846,UMAP
644,0.4631553,5.627918,UMAP
645,1.3128195,4.3763013,UMAP
646,2.8211582,2.2020442,UMAP
647,5.4742985,9.129649,UMAP
648,2.3637078,5.966422,UMAP
649,0.10737401,5.271289,UMAP
650,5.21444,4.898052,UMAP
651,1.0677977,5.5730343,UMAP
652,4.00251,6.232851,UMAP
653,6.2101507,8.588077,UMAP
654,5.965507,5.37986,UMAP
655,-0.3291884,5.508801,UMAP
656,2.5563965,5.546992,UMAP
657,5.708604,4.3230844,UMAP
658,3.6457548,8.35633,UMAP
659,1.9600098,4.336954,UMAP
660,2.858919,3.2409685,UMAP
661,3.230944,4.196166,UMAP
662,6.0271397,8.62034,UMAP
663,-1.0365235,6.080765,UMAP
664,6.2831035,6.9528217,UMAP
665,5.796842,6.021461,UMAP
666,2.8665752,2.8386505,UMAP
667,3.1958232,8.584956,UMAP
668,4.041963,7.737444,UMAP
669,3.7205684,8.749484,UMAP
670,2.6165352,8.136002,UMAP
671,3.5712216,5.137445,UMAP
672,2.5178304,6.1015134,UMAP
673,5.7346864,7.665258,UMAP
674,4.0469303,3.0799916,UMAP
675,5.01567,7.803709,UMAP
676,2.6800716,7.4805684,UMAP
677,1.7366223,6.6104217,UMAP
678,5.050916,4.884295,UMAP
679,5.7303085,7.5221877,UMAP
680,3.0767255,3.9930756,UMAP
681,5.14488,2.8723483,UMAP
682,4.140299,2.8466167,UMAP
683,5.0433483,3.7350416,UMAP
684,2.6025155,3.2342849,UMAP
685,3.3889387,2.3730323,UMAP
686,5.4493012,8.708009,UMAP
687,4.888301,7.612663,UMAP
688,3.2511215,6.218689,UMAP
689,3.4837816,5.018573,UMAP
690,1.7747524,4.1056595,UMAP
691,3.2835739,5.5052958,UMAP
692,5.9278483,4.2269955,UMAP
693,2.9388077,3.184986,UMAP
694,3.3083458,2.2843726,UMAP
695,1.9017562,4.3964047,UMAP
696,3.6187422,8.885008,UMAP
697,5.0967665,7.813943,UMAP
698,2.482581,7.0759683,UMAP
699,5.321209,8.489098,UMAP
700,4.277012,7.5345645,UMAP
701,0.35000286,5.9034023,UMAP
702,6.3306446,7.686816,UMAP
703,3.1813784,4.078186,UMAP
704,3.247417,7.622151,UMAP
705,1.7496502,5.260931,UMAP
706,0.3120396,5.696653,UMAP
707,4.539547,3.1466696,UMAP
708,1.8708957,3.8462756,UMAP
709,4.788082,8.673005,UMAP
710,1.9308969,5.4756937,UMAP
711,5.785008,5.9138236,UMAP
712,3.128278,7.8512783,UMAP
713,2.457994,3.722587,UMAP
714,5.8881426,4.4342,UMAP
715,2.042712,4.4917293,UMAP
716,3.1957648,8.526337,UMAP
717,-0.44543108,6.2986116,UMAP
718,5.034395,7.4123697,UMAP
719,0.67325395,5.7897587,UMAP
720,4.689725,8.852268,UMAP
721,5.4043226,3.51142,UMAP
722,5.8293104,6.6630206,UMAP
723,3.1967654,1.8386972,UMAP
724,1.8459768,7.010641,UMAP
725,2.0643876,4.871228,UMAP
726,3.6371386,7.572568,UMAP
727,-1.0709453,6.091608,UMAP
728,4.2885118,2.488064,UMAP
729,0.95642394,5.485386,UMAP
730,5.339323,2.95978,UMAP
731,3.7940516,1.9872078,UMAP
732,5.7191477,7.7017603,UMAP
733,-0.80670893,6.2728195,UMAP
734,4.8951483,6.020919,UMAP
735,4.1060896,7.2901483,UMAP
736,4.382395,4.8099003,UMAP
737,5.8680696,7.9442716,UMAP
738,2.2756667,6.2839465,UMAP
739,3.7062209,7.426289,UMAP
740,5.9461527,8.742134,UMAP
741,5.864495,6.080698,UMAP
742,1.7126518,4.936023,UMAP
743,5.845151,5.4966874,UMAP
744,3.054509,2.7533078,UMAP
745,0.7363853,5.8194504,UMAP
746,5.449965,7.481871,UMAP
747,4.318035,2.0290153,UMAP
748,1.6046888,6.6988144,UMAP
749,2.9766393,7.405946,UMAP
750,5.653129,3.7482069,UMAP
751,4.052887,4.6111894,UMAP
752,0.069411784,5.888516,UMAP
753,4.395506,9.193624,UMAP
754,4.6647935,7.495597,UMAP
755,5.066232,4.5852976,UMAP
756,4.622097,3.8297718,UMAP
757,2.9297807,2.6604147,UMAP
758,5.620459,9.064181,UMAP
759,6.0051093,8.613841,UMAP
760,5.3555393,8.42264,UMAP
761,5.7400656,4.459823,UMAP
