species,ranking,support_cutoff,n_retained_clusters,nn_absorption_sigma,nn_absorption_n_neighbors,status,n_macro_clusters,n_absorbed_clusters,supported_occupancy_fraction,transition_entropy_bits,transition_entropy_weighting,mean_transition_entropy_bits,entropy_delta_from_full_n_bits,entropy_delta_from_previous_n_bits,pi_effective_clusters,max_leading_eigen_delta_from_full_n,max_leading_eigen_delta_from_previous_n,lambda_2_abs,lambda_2_real,lambda_2_imag,lambda_3_abs,lambda_3_real,lambda_3_imag,lambda_4_abs,lambda_4_real,lambda_4_imag,lambda_5_abs,lambda_5_real,lambda_5_imag,lambda_6_abs,lambda_6_real,lambda_6_imag
Mus_caroli,occupancy_descending,225,225,2.0,3,ok,225,775,0.4383764404956865,6.988721690313463,empirical_macro_occupancy,7.168703561490819,-0.9492183919781914,-0.13226341571629163,170.13545225787095,0.2771211331892991,0.016639321399657236,0.6439510165225444,0.6439510165225444,0.0,0.5256779766945578,0.5256779766945578,0.0,0.3374374293069074,0.3374374293069074,0.0,0.2630476479790892,0.2630476479790892,0.0,0.19979109957893595,0.19979109957893595,0.0
Mus_caroli,occupancy_descending,200,200,2.0,3,ok,200,800,0.40162737509459573,6.845488272919573,empirical_macro_occupancy,7.035118437241172,-1.0924518093720819,-0.1432334173938905,148.58243038709296,0.28762509230002925,0.03686751743975908,0.6308861267532324,0.6308861267532324,0.0,0.48881045925479877,0.48881045925479877,0.0,0.32311439841446493,0.32311439841446493,0.0,0.25254368886835904,0.25254368886835904,0.0,0.18641413865771028,0.18641413865771028,0.0
Mus_caroli,occupancy_descending,175,175,2.0,3,ok,175,825,0.363037588839786,6.630487134176928,empirical_macro_occupancy,6.855818515628389,-1.3074529481147268,-0.21500113874264493,119.00697307475542,0.3063936819447962,0.018768589644766992,0.6203595357158105,0.6203595357158105,0.0,0.47863826140361904,0.47863826140361904,0.0,0.31062911962745376,0.31062911962745376,0.0,0.23377509922359205,0.23377509922359205,0.0,0.17216612384545807,0.17216612384545807,0.0
Mus_caroli,occupancy_descending,150,150,2.0,3,ok,150,850,0.32275824112054324,6.412328987087817,empirical_macro_occupancy,6.652990035504068,-1.5256110952038373,-0.21815814708911052,97.32046923067517,0.31968436125150373,0.02044431602787683,0.6093700249227332,0.6093700249227332,0.0,0.4581939453757422,0.4581939453757422,0.0,0.2965354168888302,0.2965354168888302,0.0,0.22048441991688456,0.22048441991688456,0.0,0.16717605385233458,0.16717605385233458,0.0
Mus_caroli,occupancy_descending,125,125,2.0,3,ok,125,875,0.28056980629957834,6.164876703216771,empirical_macro_occupancy,6.421119108425707,-1.773063379074884,-0.24745228387104667,78.13730362621112,0.3425190751529315,0.06022733495958449,0.5865779667527995,0.5865779667527995,0.0,0.3979666104161577,0.3979666104161577,0.0,0.2621264075633958,0.2621264075633958,0.0,0.19764970601545678,0.19764970601545678,0.0,0.14991708880192758,0.14991708880192758,0.0
Mus_caroli,occupancy_descending,100,100,2.0,3,ok,100,900,0.23595054762441284,5.786071568890992,empirical_macro_occupancy,6.109103834171422,-2.1518685134006628,-0.3788051343257788,52.3788546011121,0.38317809008895476,0.04517086444330637,0.5577261334347051,0.5577261334347051,0.0,0.35279574597285135,0.35279574597285135,0.0,0.21765915552173393,0.21765915552173393,0.0,0.15699069107943356,0.15699069107943356,0.0,0.1295796175059254,0.1295796175059254,0.0
Mus_caroli,occupancy_descending,75,75,2.0,3,ok,75,925,0.18809654261655825,5.359498951323667,empirical_macro_occupancy,5.675429801140203,-2.5784411309679873,-0.42657261756732456,35.58181894650217,0.42091265747178164,0.08161745032152351,0.52796082091818,0.52796082091818,0.0,0.27117829565132784,0.27117829565132784,0.0,0.15050167576677367,0.15050167576677367,0.0,0.14192383251765772,0.14192383251765772,0.0,0.11095910551785161,0.11095910551785161,0.0
Mus_caroli,occupancy_descending,50,50,2.0,3,ok,50,950,0.13564089696948034,4.642414165772964,empirical_macro_occupancy,4.995615050782037,-3.2955259165186908,-0.7170847855507034,19.20794531780807,0.4547830318683382,0.03941005871830805,0.5042600203578629,0.5042600203578629,0.0,0.2317682369330198,0.2317682369330198,0.0,0.12018067885651014,0.12018067885651014,0.0,0.11085430932335295,0.11085430932335295,0.0,0.07472021069353384,0.07472021069353384,0.0
Mus_musculus,occupancy_descending,1000,1000,2.0,3,ok,1000,0,1.0,7.7653839770168425,empirical_macro_occupancy,7.696786555194434,0.0,,628.0183633989756,0.0,,0.8768326221746143,0.8768326221746143,0.0,0.7535297120366949,0.7535297120366949,0.0,0.7410670789119684,0.7410670789119684,0.0,0.7133095727969779,0.7133095727969779,0.0,0.5864739546185868,0.5864739546185868,0.0
Mus_musculus,occupancy_descending,975,975,2.0,3,ok,975,25,0.9999273734859069,7.765642218437539,empirical_macro_occupancy,7.797858116278913,0.00025824142069641454,0.00025824142069641454,628.006371170491,0.0008330326269151422,0.0008330326269151422,0.8767793021237327,0.8767793021237327,0.0,0.7535068455224755,0.7535068455224755,0.0,0.7402340462850533,0.7402340462850533,0.0,0.7132430443814799,0.7132430443814799,0.0,0.5864627062132123,0.5864627062132123,0.0
