species,aligned_arm,moseq_cluster,soft_frames
Peromyscus_californicus,1,45,12838.00819283123
Peromyscus_californicus,1,46,5774.508528485221
Peromyscus_californicus,1,47,868.979100948045
Peromyscus_californicus,1,48,1414.9424831113602
Peromyscus_californicus,1,49,1219.0819422555796
Peromyscus_californicus,1,51,1.9100518357307763
Peromyscus_californicus,1,52,1.9205368413663764
Peromyscus_californicus,1,73,8.837749801636317
Peromyscus_californicus,1,77,28.87039379119349
Peromyscus_californicus,1,84,12.414739298764603
Peromyscus_californicus,2,0,22691.57371628675
Peromyscus_californicus,2,1,13932.808750939246
Peromyscus_californicus,2,2,35032.3445280569
Peromyscus_californicus,2,3,25394.575572631762
Peromyscus_californicus,2,4,3198.110126378789
Peromyscus_californicus,2,5,6133.405234338615
Peromyscus_californicus,2,6,2756.854436435556
Peromyscus_californicus,2,7,12465.534505544412
Peromyscus_californicus,2,8,2956.832882702042
Peromyscus_californicus,2,9,8398.79954051942
Peromyscus_californicus,2,10,9771.385668031735
Peromyscus_californicus,2,11,6987.171544322099
Peromyscus_californicus,2,12,3442.1175340769373
Peromyscus_californicus,2,13,7135.6388301303305
Peromyscus_californicus,2,14,3683.2946105600845
Peromyscus_californicus,2,15,3483.930397205425
Peromyscus_californicus,2,16,43.91171958622086
Peromyscus_californicus,2,17,1173.3800422741924
Peromyscus_californicus,2,18,1732.1302090408772
Peromyscus_californicus,2,19,2158.004908546276
Peromyscus_californicus,2,20,1198.2775058592756
Peromyscus_californicus,2,21,1943.879306913382
Peromyscus_californicus,2,22,2756.1724405092536
Peromyscus_californicus,2,23,10966.760023736142
Peromyscus_californicus,2,24,739.7093956869602
Peromyscus_californicus,2,25,2325.33806670503
Peromyscus_californicus,2,26,33878.328815803434
Peromyscus_californicus,2,27,34.71352332264566
Peromyscus_californicus,2,28,792.1564100654426
Peromyscus_californicus,2,29,1015.2297602870158
Peromyscus_californicus,2,30,2313.0825705506263
Peromyscus_californicus,2,31,2778.607256019495
Peromyscus_californicus,2,32,499.1513362322213
Peromyscus_californicus,2,33,6589.692366363901
Peromyscus_californicus,2,34,20273.028549578055
Peromyscus_californicus,2,35,55669.124177350146
Peromyscus_californicus,2,36,12033.740833194472
Peromyscus_californicus,2,37,23368.689691336214
Peromyscus_californicus,2,38,267.3172163575557
Peromyscus_californicus,2,39,1554.3669130665126
Peromyscus_californicus,2,40,2577.136234978231
Peromyscus_californicus,2,41,5657.20111546405
Peromyscus_californicus,2,42,33355.93519572871
Peromyscus_californicus,2,43,0.6127342585165403
Peromyscus_californicus,2,44,3492.35468146484
Peromyscus_californicus,2,45,1456.5543558387824
Peromyscus_californicus,2,46,2409.6886258996838
Peromyscus_californicus,2,47,388.8050439107906
Peromyscus_californicus,2,48,911.8533819244266
Peromyscus_californicus,2,49,118.15466306008067
Peromyscus_californicus,2,51,0.08994816426922361
Peromyscus_californicus,2,52,0.07946315863362366
Peromyscus_californicus,2,73,0.16225019836368149
Peromyscus_californicus,2,77,1.129606208806498
Peromyscus_californicus,2,84,0.5852607012353948
Peromyscus_gossypinus,1,0,182444.31240040393
Peromyscus_gossypinus,1,1,172398.57398836123
Peromyscus_gossypinus,1,2,207438.65623215583
Peromyscus_gossypinus,1,3,163171.34242239868
Peromyscus_gossypinus,1,4,48200.71054704438
Peromyscus_gossypinus,1,5,70507.93240352353
Peromyscus_gossypinus,1,6,44433.72244661114
Peromyscus_gossypinus,1,7,226093.6165831103
Peromyscus_gossypinus,1,8,127303.14028116484
Peromyscus_gossypinus,1,9,105749.96636329165
Peromyscus_gossypinus,1,10,231818.79637069436
Peromyscus_gossypinus,1,11,41358.5468212218
Peromyscus_gossypinus,1,12,74414.23565503913
Peromyscus_gossypinus,1,13,53237.82940318345
Peromyscus_gossypinus,1,14,39274.54131721487
Peromyscus_gossypinus,1,15,80303.92295731764
Peromyscus_gossypinus,1,16,43435.69594715061
Peromyscus_gossypinus,1,17,133747.43466745448
Peromyscus_gossypinus,1,18,22374.68283751327
Peromyscus_gossypinus,1,19,90631.0338753993
Peromyscus_gossypinus,1,20,62793.019536535685
Peromyscus_gossypinus,1,21,24662.90744397347
Peromyscus_gossypinus,1,22,206239.0394537543
Peromyscus_gossypinus,1,23,84362.2157293128
Peromyscus_gossypinus,1,24,66212.21277286217
Peromyscus_gossypinus,1,25,27721.209398097457
Peromyscus_gossypinus,1,26,311310.7864433368
Peromyscus_gossypinus,1,27,40409.159464542514
Peromyscus_gossypinus,1,28,23963.086435071957
Peromyscus_gossypinus,1,29,20931.87007499114
