global_id,species,source_individual_id,component,mean,std,variance,q01,q99
Mus_musculus__subject__40268.0,Mus_musculus,40268.0,22,0.001117198495194316,0.0037742811255156994,1.4245198144635651e-05,-0.008121771812438965,0.009988639689981945
Mus_musculus__subject__40268.0,Mus_musculus,40268.0,23,0.0010869547259062529,0.0037713730707764626,1.4223255675460678e-05,-0.007407496888190508,0.010667245276272304
Mus_musculus__subject__40268.0,Mus_musculus,40268.0,24,0.0006162514910101891,0.0039045652374625206,1.524563049315475e-05,-0.008830978609621525,0.01006073720753194
Mus_musculus__subject__40268.0,Mus_musculus,40268.0,25,-0.00014414401084650308,0.0036791269667446613,1.3535975995182525e-05,-0.009183650724589825,0.008547145873308185
Mus_musculus__subject__40268.0,Mus_musculus,40268.0,26,0.0005481623811647296,0.0033653080463409424,1.1325298146402929e-05,-0.007057131938636303,0.008996079377830035
Mus_musculus__subject__40268.0,Mus_musculus,40268.0,27,-0.0009516261634416878,0.00335276429541409,1.1241028914810158e-05,-0.008931886591017246,0.007667278815060874
Mus_musculus__subject__40268.0,Mus_musculus,40268.0,28,-0.0011528569739311934,0.0032732030376791954,1.0713857591326814e-05,-0.009038628712296486,0.006702577508985999
Mus_musculus__subject__40268.0,Mus_musculus,40268.0,29,0.00036638861638493836,0.0033083895687013865,1.0945442227239255e-05,-0.007676823083311319,0.008105591572821163
Mus_musculus__subject__40268.0,Mus_musculus,40268.0,30,0.00031607592245563865,0.0031698879320174456,1.0048190233646892e-05,-0.0074888447858393195,0.008257623910903933
Mus_musculus__subject__40268.0,Mus_musculus,40268.0,31,0.0003517929289955646,0.002848627744242549,8.114679985737894e-06,-0.006368129476904869,0.007225577030330898
Mus_musculus__subject__40268.0,Mus_musculus,40268.0,32,0.00107588991522789,0.002723284298554063,7.416277185257059e-06,-0.005862864423543215,0.007408047150820506
Mus_musculus__subject__40268.0,Mus_musculus,40268.0,33,-0.00044905173126608133,0.0029154743533581495,8.4999901446281e-06,-0.007468892186880112,0.00662650454789401
Mus_musculus__subject__40268.0,Mus_musculus,40268.0,34,0.00010819914314197376,0.002575536957010627,6.633390967181185e-06,-0.006053400095552206,0.006269059106707581
Mus_musculus__subject__40268.0,Mus_musculus,40268.0,35,-0.00013029758702032268,0.002585030859336257,6.682384537270991e-06,-0.0062518809922039505,0.006067109908908609
Mus_musculus__subject__40268.0,Mus_musculus,40268.0,36,0.00010051040590042248,0.0027160446625202894,7.376898793154396e-06,-0.0061860838532447815,0.006598647180944683
Mus_musculus__subject__40268.0,Mus_musculus,40268.0,37,-9.92918066913262e-05,0.0026258325669914484,6.894996658957098e-06,-0.006309543605893851,0.006162285748869183
